Group,ID1,ID2,TotalMax,TotalGroup,SameWords,UniqueWords,SimilarityRatio,DiversityRatio,CollectiveBenefit,CollectiveBenefitHard,TotalMax_r3,UniqueWords_r3,SimilarityRatio_r3,DiversityRatio_r3,Participant,TotalP1_r3,TotalP2_r3,Total,TotalP1,TotalP2,Total_r3,IndividualChange
1811,nkNusBjLy,1EPk0kgrZ,NA,26,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,P1,NA,NA,NA,NA,20,NA,NA
1811,nkNusBjLy,1EPk0kgrZ,NA,26,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,P2,NA,NA,20,NA,20,NA,NA
1812,SsHExLSWt,NSGGXKesq,48,46,19,61,0.6666666666666666,3.210526315789474,0.9583333333333334,0.7540983606557377,NA,NA,NA,NA,P1,NA,NA,32,32,48,NA,NA
1812,SsHExLSWt,NSGGXKesq,48,46,19,61,0.6666666666666666,3.210526315789474,0.9583333333333334,0.7540983606557377,NA,NA,NA,NA,P2,NA,NA,48,32,48,NA,NA
2101,N9XlemTL5,r9DwHOJ4v,20,27,4,23,0.35,5.75,1.35,1.173913043478261,40,47,0.55,3.1333333333333333,P1,22,40,7,7,20,22,3.142857142857143
2101,N9XlemTL5,r9DwHOJ4v,20,27,4,23,0.35,5.75,1.35,1.173913043478261,40,47,0.55,3.1333333333333333,P2,22,40,20,7,20,40,2
2102,Dz2nlaqRJ,oIYjcWjzv,NA,38,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,P1,NA,NA,NA,NA,NA,NA,NA
2102,Dz2nlaqRJ,oIYjcWjzv,NA,38,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,P2,NA,NA,NA,NA,NA,NA,NA
2103,xVDLHgzUw,iEXKcHLGT,31,16,6,40,0.4838709677419355,6.666666666666667,0.5161290322580645,0.4,21,32,0.7142857142857143,8,P1,21,15,31,31,15,21,0.6774193548387096
2103,xVDLHgzUw,iEXKcHLGT,31,16,6,40,0.4838709677419355,6.666666666666667,0.5161290322580645,0.4,21,32,0.7142857142857143,8,P2,21,15,15,31,15,15,1
2104,YBL5kiDq9,2Y0el4yVq,36,21,9,50,0.6388888888888888,5.555555555555555,0.5833333333333334,0.42,41,57,0.8292682926829268,3.1666666666666665,P1,34,41,36,36,23,34,0.9444444444444444
2104,YBL5kiDq9,2Y0el4yVq,36,21,9,50,0.6388888888888888,5.555555555555555,0.5833333333333334,0.42,41,57,0.8292682926829268,3.1666666666666665,P2,34,41,23,36,23,41,1.7826086956521738
2105,K56cni2Qy,0Zft13QsF,24,46,8,39,0.9583333333333334,4.875,1.9166666666666667,1.1794871794871795,52,71,0.9423076923076923,2.3666666666666667,P1,49,52,24,24,23,49,2.0416666666666665
2105,K56cni2Qy,0Zft13QsF,24,46,8,39,0.9583333333333334,4.875,1.9166666666666667,1.1794871794871795,52,71,0.9423076923076923,2.3666666666666667,P2,49,52,23,24,23,52,2.260869565217391
2106,SCekAduEx,H31e76Sl4,12,12,6,14,0.6666666666666666,2.3333333333333335,1,0.8571428571428571,12,20,0.9166666666666666,6.666666666666667,P1,11,12,12,12,8,11,0.9166666666666666
2106,SCekAduEx,H31e76Sl4,12,12,6,14,0.6666666666666666,2.3333333333333335,1,0.8571428571428571,12,20,0.9166666666666666,6.666666666666667,P2,11,12,8,12,8,12,1.5
2107,wfwsjQuh9,BdVGDhZaN,35,34,11,50,0.7428571428571429,4.545454545454546,0.9714285714285714,0.68,47,65,0.8297872340425532,3.0952380952380953,P1,47,39,26,26,35,47,1.8076923076923077
2107,wfwsjQuh9,BdVGDhZaN,35,34,11,50,0.7428571428571429,4.545454545454546,0.9714285714285714,0.68,47,65,0.8297872340425532,3.0952380952380953,P2,47,39,35,26,35,39,1.1142857142857143
2108,L74Vh3rNi,kH6LD1pBN,16,36,4,22,0.625,5.5,2.25,1.6363636363636365,58,64,0.6896551724137931,1.8823529411764706,P1,58,40,16,16,10,58,3.625
2108,L74Vh3rNi,kH6LD1pBN,16,36,4,22,0.625,5.5,2.25,1.6363636363636365,58,64,0.6896551724137931,1.8823529411764706,P2,58,40,10,16,10,40,4
2109,0OejK6YU5,2jLd1LMv7,16,23,4,23,0.6875,5.75,1.4375,1,21,29,0.6190476190476191,5.8,P1,21,13,16,16,11,21,1.3125
2109,0OejK6YU5,2jLd1LMv7,16,23,4,23,0.6875,5.75,1.4375,1,21,29,0.6190476190476191,5.8,P2,21,13,11,16,11,13,1.1818181818181819
2110,n3eqy99gW,lLq4FpFkm,29,34,6,38,0.5172413793103449,6.333333333333333,1.1724137931034482,0.8947368421052632,39,51,0.8974358974358975,2.217391304347826,P1,39,35,15,15,29,39,2.6
2110,n3eqy99gW,lLq4FpFkm,29,34,6,38,0.5172413793103449,6.333333333333333,1.1724137931034482,0.8947368421052632,39,51,0.8974358974358975,2.217391304347826,P2,39,35,29,15,29,35,1.206896551724138
2111,LYNLIZcfa,cSglstp8y,26,29,4,32,0.38461538461538464,8,1.1153846153846154,0.90625,21,37,0.9523809523809523,9.25,P1,21,20,26,26,10,21,0.8076923076923077
2111,LYNLIZcfa,cSglstp8y,26,29,4,32,0.38461538461538464,8,1.1153846153846154,0.90625,21,37,0.9523809523809523,9.25,P2,21,20,10,26,10,20,2
2112,B2VGhAwDm,6faZqFCbq,24,25,5,31,0.5,6.2,1.0416666666666667,0.8064516129032258,30,36,0.7666666666666667,2.1176470588235294,P1,23,30,12,12,24,23,1.9166666666666667
2112,B2VGhAwDm,6faZqFCbq,24,25,5,31,0.5,6.2,1.0416666666666667,0.8064516129032258,30,36,0.7666666666666667,2.1176470588235294,P2,23,30,24,12,24,30,1.25
2113,tyzuRfdEP,P26rEcvgh,22,34,6,31,0.6818181818181818,5.166666666666667,1.5454545454545454,1.096774193548387,52,63,0.75,2.25,P1,52,39,22,22,15,52,2.3636363636363638
2113,tyzuRfdEP,P26rEcvgh,22,34,6,31,0.6818181818181818,5.166666666666667,1.5454545454545454,1.096774193548387,52,63,0.75,2.25,P2,52,39,15,22,15,39,2.6
2114,B5CXJsYZy,8E3Yx74uO,38,60,20,52,0.8947368421052632,2.6,1.5789473684210527,1.1538461538461537,74,86,0.6486486486486487,2.388888888888889,P1,74,48,38,38,34,74,1.9473684210526316
2114,B5CXJsYZy,8E3Yx74uO,38,60,20,52,0.8947368421052632,2.6,1.5789473684210527,1.1538461538461537,74,86,0.6486486486486487,2.388888888888889,P2,74,48,34,38,34,48,1.411764705882353
